"alt","caption","commentsCount","dimensionsHeight","dimensionsWidth","displayUrl","firstComment","fullName","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","id","likesCount","locationId","locationName","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","ownerFullName","ownerId","ownerUsername","position","productType","queryTag","shortCode","timestamp","type","url","videoViewCount"
"Photo by Mom.Wife.Nurse on February 27, 2022. May be an image of dessert.","Brownies bez šećera ,brašna i jaja!! 
Recept:
➡️ 210 g umaka od jabuka
➡️125 g kikiriki maslaca
➡️ 80 g  kakao
➡️ 2 čk vanila ekstrakt 
➡️50 - 70 g javorovog sirupa
➡️100 g tamne čokolade 
 
Frostinging:

➡️ 100 g sirnog namaza 
➡️3 Kašike javorovog sirupa 

➡️Sastojke za brownies sve zajedno dobro umjesajte, stavite u manju  vatrostalnu posudu ,i pecite na 180 C° oko 20 min
Kada se ispeče dobro ohladiti (2-3 sata u hladnjaku)

➡️pomiješati sirni namaz i javorov sirup ,preliti po brownies i uživajte 🍹

#brzoizdravo #zdravlje #zdraviživot #rezeptdana #eathealthy #brownies #dobrahrana #domaćeizdravo #napravisama #onosištojedeš  #zdravoislatko #jedibezgrižnjesavjesti #kolačići #čokolada","0","1350","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274841353_2793513507616138_1535218717494313932_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=MYlg9ek_auMAX-iwyGg&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9VLtDRoJDIJJNtlD4JI55eeiPLlq631sU81tqeFJhVNw&oe=6222D6AC&_nc_sid=4efc9f","","owner didnt open","brzoizdravo","zdravlje","zdraviživot","rezeptdana","eathealthy","brownies","dobrahrana","domaćeizdravo","napravisama","onosištojedeš","zdravoislatko","jedibezgrižnjesavjesti","kolačići","čokolada",,,,,,,,,,,,,,,,,"2783023427675949899","0",,,,,,,,,,"36794690349",,"14",,"brownies","CafSQ_4NwtL","2022-02-27T17:17:47.000Z","Image","https://www.instagram.com/p/CafSQ_4NwtL/",
"Photo by Pastamam Birgül on February 27, 2022. May be an image of dessert.","#browni #brownies #cheesecake  #dogumgunupastasi #kurabiye #pasta #tatlı #sunum #istanbul #cakedecor","0","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274884991_374904874104507_5688116494101069473_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Tq2bC8OgCXQAX-QNIUJ&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8UcjV-4tIWNlBhnwFejmIWO6QGKWKPs77vnMOrMINCDA&oe=62227640&_nc_sid=4efc9f","","owner didnt open","browni","brownies","cheesecake","dogumgunupastasi","kurabiye","pasta","tatlı","sunum","istanbul","cakedecor",,,,,,,,,,,,,,,,,,,,,"2783023336449777362","0",,,,,,,,,,"1548094272",,"15",,"brownies","CafSPq6th7S","2022-02-27T17:17:36.000Z","Image","https://www.instagram.com/p/CafSPq6th7S/",
"Photo by Taina M. in Anjala, Etelä-Suomen Lääni, Finland with @kennel.marmalades. May be an image of dog.","LT JMVA Marmalade's Walnut
eli kotoisammin 🧡 Walma 🧡

#heelers #rockslopes #marmalade #kennelmarmalades #walmathebest #walmarockslopes
#lancashireheeler #lancashire #brownies #myprecious #puppylove #dogsofinstagram #heelersofinstagram #heelerlove #heelernation #heelergram #heeler #doggy","2","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274916801_280385347571052_893970192242879248_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=5eyrEoW_NN0AX-MwqWN&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8xhTv9tiWJHzoQT7bkMk0iIZ7wvyie8_d7uwzCPlYQhQ&oe=62225FAC&_nc_sid=4efc9f","","owner didnt open","heelers","rockslopes","marmalade","kennelmarmalades","walmathebest","walmarockslopes","lancashireheeler","lancashire","brownies","myprecious","puppylove","dogsofinstagram","heelersofinstagram","heelerlove","heelernation","heelergram","heeler","doggy",,,,,,,,,,,,,"2783023149073322006","2",,,,,,,,,,"1741130480",,"16",,"brownies","CafSM8aNFAW","2022-02-27T17:17:14.000Z","Image","https://www.instagram.com/p/CafSM8aNFAW/",
"Photo by Dulces & Caramelos on February 27, 2022. May be an image of dessert.","Cajita de alfajores rellenos de dulce de leche y Brownies 🥰

#alfajores #brownies #browniesenrd #reposteriadyc #rd🇩🇴 #dulcesycaramelos","0","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274902767_662048084993565_5026330396793148025_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=0nDCyXKZY3wAX9eKURS&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_BEvlvYXgoylNrCYKTDs7PlJNzXgUfRJlSlpipHwn3oQ&oe=622274A1&_nc_sid=4efc9f","","owner didnt open","alfajores","brownies","browniesenrd","reposteriadyc","rd🇩🇴","dulcesycaramelos",,,,,,,,,,,,,,,,,,,,,,,,,"2783023101023072267","2",,,,,,,,,,"610307542",,"17",,"brownies","CafSMPqL7AL","2022-02-27T17:17:08.000Z","Image","https://www.instagram.com/p/CafSMPqL7AL/",
"Photo by Brownie | Bentô Cake 🌾 on February 26, 2022. May be an image of dessert and indoor.","O preferido do bloco ""Unidos da Netflix"" 🤤🎉🎬📺🛌🏼
.
.
.
.
.
.
.
.
#brownienopote
#brownie
#confeitaria
#empreendedorismo","0","1301","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274833567_4968351096578653_7659333544025740403_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=rrhG_3v5_lIAX84GkJH&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-VEycsoIWSXynSTmF2d68KHILwFpe-OfYjF6KDbfDdDA&oe=6222B508&_nc_sid=4efc9f","","owner didnt open","brownienopote","brownie","confeitaria","empreendedorismo",,,,,,,,,,,,,,,,,,,,,,,,,,,"2782398990961303490","11",,,,,,,,,,"15866126078",,"18",,"brownienopote","CadESP3p1_C","2022-02-26T20:37:08.000Z","Sidecar","https://www.instagram.com/p/CadESP3p1_C/",
"Photo by Baked by Hannah on February 27, 2022. May be an image of cupcake.","💖 Mother’s Day 💖 

Cupcakes - £12
🧁 vanilla or chocolate sponge
🧁 vanilla buttercream
🧁 optional filling 

Brownies - £12 collection / £16 postal
🍫 two flavours of your choice 
🍫 available for collection or posted anywhere in the UK

Collections - from Basildon on Saturday 26th March
Postals - sent Royal Mail 1st Class on Wednesday 23rd March 

#cupcakes #vanillacupcakes #chocolatecupcakes #cupcakebox #cake #brownies #chocolatebrownies #browniebox #mothersday #mothersdaygift #foodpic #food #cakebaker #baker","1","1080","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274921606_1108976799673261_4409181519829374899_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=qcPrOI3gXSgAX-b9AKu&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_HJzzk6SbuAa-AHbTjwjvLXX6fuAGQz-qyJb68VCfJHQ&oe=622224FD&_nc_sid=4efc9f","","owner didnt open","cupcakes","vanillacupcakes","chocolatecupcakes","cupcakebox","cake","brownies","chocolatebrownies","browniebox","mothersday","mothersdaygift","foodpic","food","cakebaker","baker",,,,,,,,,,,,,,,,,"2783023029074186349","2",,,,,,,,,,"46126871360",,"18",,"brownies","CafSLMpstBt","2022-02-27T17:16:59.000Z","Sidecar","https://www.instagram.com/p/CafSLMpstBt/",
"Photo by Doce Sabor | Doceria Nilópolis on February 26, 2022. May be an image of dessert.","Brownie no pote 🍫
Camadas de brownie, morangos picados, brigadeiro gourmet branco e tradicional
.
.
.
#brownie #brownienopote #sobremesas #receitas #delivery #bolonopote #confeitaria #ovodecolher #nilopolis","0","1080","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274883222_129355526299713_5866389393442290908_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=AeqVOE9KxnMAX_pOtM7&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_sYZqn1IU2vWPeJoeFmcf2IcwkXnG90CWVfnTje6mRvQ&oe=62230E05&_nc_sid=4efc9f","","owner didnt open","brownie","brownienopote","sobremesas","receitas","delivery","bolonopote","confeitaria","ovodecolher","nilopolis",,,,,,,,,,,,,,,,,,,,,,"2782361340524298496","5",,,,,,,,,,"43824073904",,"19",,"brownienopote","Cac7uXKuwEA","2022-02-26T19:22:20.000Z","Sidecar","https://www.instagram.com/p/Cac7uXKuwEA/",
"Photo by blackgirlsdobikela on February 27, 2022. May be an image of one or more people, outdoors and text that says 'WAK'.","Now if you have not met this beautiful soul you are in for a treat when you do

This is the owner and creator of @kimmie.treats 

Her salsa is so addicting and she offers a variety like mild, spicy, black bean salsa, seasonal mango salsa, fresh guacamole and lets not forget her brownies (baby) 

You can find her treats at @thenorthstarmarket or she will deliver to you in the LA area

Check her out and make sure you include her in your next party because she does offer party sizes 

@thenorthstarmarket 
@kimmie.treats 
#supportsmallbusiness 
#supportblackownedbusinesses 
#salsa
#brownies
#guacamole 
#sosweet
@bgdb_la","4","1350","1080","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274819168_647762923167462_4755051259768245290_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=cFSXNEvjKasAX9JJLkG&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-SJB9Moq28VOtIS9gseikMn18_NMSM_0KFJQ-nvDzvLA&oe=6221ABF5&_nc_sid=4efc9f","","owner didnt open","supportsmallbusiness","supportblackownedbusinesses","salsa","brownies","guacamole","sosweet",,,,,,,,,,,,,,,,,,,,,,,,,"2783022937595669638","2",,,"kimmie.treats","thenorthstarmarket","bgdb_la",,,,,"3306426971",,"19",,"brownies","CafSJ3dJ2yG","2022-02-27T17:16:48.000Z","Sidecar","https://www.instagram.com/p/CafSJ3dJ2yG/",
"Photo by Day Quero Maaais in Cidade de Ourinhos - SP with @1_dosmotta, and @dayacarvalhoo. May be an image of cake.","Brownie no pote 😍

Ninho com Nutella 
Ferrero 

Difícil escolher um só!

Disponível hoje na nossa pronta entrega,  garanta já o seu! 😊

#brownienopote #brownie #brigadeiro #ninhocomnutella #ferrero","0","1350","1080","https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/274860693_360331452627499_4730807087696832208_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=5TUFpKLocncAX85dXtC&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-M6xAQOX0YdH5OOH7PGX8omuuNkWJxx15iycmNvcdWcQ&oe=62237E84&_nc_sid=4efc9f","","owner didnt open","brownienopote","brownie","brigadeiro","ninhocomnutella","ferrero",,,,,,,,,,,,,,,,,,,,,,,,,,"2782336696161367094","15",,,,,,,,,,"46581097589",,"20",,"brownienopote","Cac2HvUO3Q2","2022-02-26T18:33:22.000Z","Image","https://www.instagram.com/p/Cac2HvUO3Q2/",
"Photo by Marcela Alves Confeitaria🧁 in Carlos Chagas, Minas Gerais, Brazil. May be an image of dessert.","Sobremesa 1 litro para seu domingo 😍😸
•Serve até 06 pessoas

Peça já a sua 📲

Levamos até você 🛵

#sobremesanatravessa #sobremesagelada #brownies #docegelado #maaconfeitaria #confeiteira #domingodoce #docenopote","0","750","750","https://instagram.ftgu2-2.fna.fbcdn.net/v/t51.2885-15/274833350_483679349802912_1733665479614366263_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.ftgu2-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=wNKnZC52IrIAX9giwwp&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_Kdix_hhJUteSPs2qt-MwEzYkROXbobHuEHA1BdlkkVA&oe=62230585&_nc_sid=4efc9f","","owner didnt open","sobremesanatravessa","sobremesagelada","brownies","docegelado","maaconfeitaria","confeiteira","domingodoce","docenopote",,,,,,,,,,,,,,,,,,,,,,,"2783022878792657549","0",,,,,,,,,,"31493886405",,"20",,"brownies","CafSJAsOKqN","2022-02-27T17:16:41.000Z","Image","https://www.instagram.com/p/CafSJAsOKqN/",
"Photo by Kopenhagen_campogrande on February 27, 2022. May be an image of wrist watch and text that says 'KOP/INFORMA 12 2 3 8 6 2 + 5 FERIADO CARNAVAL Horário de Funcionamento Loja SHOPPING CAMPO GRANDE Horário Normal do Shopping Loja 2- Euclides da Cunha Seg e Ter Das 15/ Mopenhagen CAMPRDE CAMPO'.","ATENÇÃO ao Horário de Funcionamento no período de Carnaval! Não fique sem suas delícias! 😃🍬🍫
.
▶️ Faça seu pedido pelo delivery! ✴️Chame no WhatsApp 📲 67. 98122. 8627 😉😊 A gente leva para você! 🛵 Se preferir, peça pelo APP BEMARKET , link na Bio. 😉🍫🍬
.
#koplovers #cafekopenhagen #coffelovers  #chocolate #chocolateaoleite #petitwafer #chocolatra #amochocolate #chocolovers #omelhordecg #chocolateskopenhagen","0","750","750","https://instagram.fmga5-1.fna.fbcdn.net/v/t51.2885-15/274738071_1032920887570672_6248762554294994446_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmga5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0z_PITHQ8oMAX8KpldL&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-GyBEu6PZ7-qzPp5iwwotucTvzq2dxcnmxy2ZCveOVSw&oe=6221B90C&_nc_sid=4efc9f","","owner didnt open","koplovers","cafekopenhagen","coffelovers","chocolate","chocolateaoleite","petitwafer","chocolatra","amochocolate","chocolovers","omelhordecg","chocolateskopenhagen",,,,,,,,,,,,,,,,,,,,"2782984391716002374","4",,,,,,,,,,"4909572453",,"1",,"chocolatra","CafJY8zsFpG","2022-02-27T16:00:13.000Z","Image","https://www.instagram.com/p/CafJY8zsFpG/",
"Photo by MeninaRoseDocesGourmet on February 27, 2022. May be an image of cake.","Bom domingo 😉

Bicho de pé com detalhe  de chocolate ao leite 😋

📲Para fazer pedido é só clicar no link que está aqui no perfil e falar conosco através do Whatsapp! Vamos adorar adoçar os momentos da sua vida. 😉

#MeninaRose  #cake #chocolatudo  #bichodepe #brigadeiro #nesquik  #morango #chocolateaoleite #brigadeirosalvador  #docesalvador #docedeleite #chocolatebranco  #chocolatra  #chocolate #Brigadeirosgourmet #queijocomgoiabada #confeitariacriativa #cakedesign  #cakedecoration #nakecake  #BoloCake #Salvador #bolosalvador  #confeitariaartesanal  #festainfantilsalvador #bolodeaniversário","1","1349","1080","https://instagram.fmga5-1.fna.fbcdn.net/v/t51.2885-15/274741144_4798646043581946_1295419943689933130_n.webp?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmga5-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=ps16aa5cifYAX-s3mAN&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT9tbJFzpFAJzo4La07QYMtb7T_H_T8JxsccE8Yz05k6LQ&oe=6222CEEF&_nc_sid=4efc9f","","owner didnt open","MeninaRose","cake","chocolatudo","bichodepe","brigadeiro","nesquik","morango","chocolateaoleite","brigadeirosalvador","docesalvador","docedeleite","chocolatebranco","chocolatra","chocolate","Brigadeirosgourmet","queijocomgoiabada","confeitariacriativa","cakedesign","cakedecoration","nakecake","BoloCake","Salvador","bolosalvador","confeitariaartesanal","festainfantilsalvador","bolodeaniversário",,,,,"2782967437919530838","13",,,,,,,,,,"2216172265",,"2",,"chocolatra","CafFiPWrC9W","2022-02-27T15:26:32.000Z","Image","https://www.instagram.com/p/CafFiPWrC9W/",
"Photo by LaBalaria in Vitória da Conquista. May be an image of food and text that says 'Milka CHOCO LATE É TUDO DE BOM! L Labalaria Doces Importados'.","Adoce seu CARNAVAL 💜💜💜 Peça agora seu Milka 💜💜💜 #milka #chocolate #chocolatelovers #chocolatelover #chocolates #chocolatudo#labalaria #chocolatra #chocoholic #vitoriadaconquista #vdc","0","1300","1080","https://instagram.fmga5-1.fna.fbcdn.net/v/t51.2885-15/274755049_3150200898536100_6024638735265774162_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmga5-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=ZXjQQ8AR-LcAX-weXI7&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_PMqtfo2Qm8vuBmP7jHELfuR7lsWzKkJVcJUzw-kJMoQ&oe=62236B94&_nc_sid=4efc9f","","owner didnt open","milka","chocolate","chocolatelovers","chocolatelover","chocolates","chocolatudo","labalaria","chocolatra","chocoholic","vitoriadaconquista","vdc",,,,,,,,,,,,,,,,,,,,"2782961619924950238","22",,,,,,,,,,"51282104481",,"3",,"chocolatra","CafENk7LBze","2022-02-27T15:14:59.000Z","Image","https://www.instagram.com/p/CafENk7LBze/",
"Photo by Marcia Melhado on February 27, 2022. May be an image of standing and indoor.","Noivo ama Video game 
#gamer 
#futebol 
#pes2022 
#playstation5 
Noiva chocolatra 
#chocolate 
Me chama no wats para orçamentos , preço especial de feriado hoje 
19-97121-4823
#chocolatra 
#amopet","0","750","750","https://instagram.fmga5-1.fna.fbcdn.net/v/t51.2885-15/274891703_364756755275673_2036526276128820603_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmga5-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=SG5w5xlsLT4AX9ehbbM&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_xfGiTvhyJDR-59pQtHDr06fZ9xR57IuzKVgmiGbDLcA&oe=62239AFB&_nc_sid=4efc9f","","owner didnt open","gamer","futebol","pes2022","playstation5","chocolate","chocolatra","amopet",,,,,,,,,,,,,,,,,,,,,,,,"2782948309478220126","2",,,,,,,,,,"4245330248",,"4",,"chocolatra","CafBL4muSFe","2022-02-27T14:48:32.000Z","Image","https://www.instagram.com/p/CafBL4muSFe/",
"Photo by Dolce Fabi in Cachoeira Paulista. May be an image of text that says 'A época mais doce do ano está chegando... aguardem!!! @fabidolce Doloe'.","Alguém mais ansioso pelas delícias de Páscoa?!

🐇🥕🐇🥕🐇🥕🐇🥕🐇🥕🐇🥕🐇🥕
🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰🐰

#páscoa
#pascoa2022
#ovosdepascoa
#produtoartesanal
#feitoamao
#amochocolate
#chocolatra
#empreendedorismo 
#chocolate","1","1080","1080","https://instagram.fmga5-1.fna.fbcdn.net/v/t51.2885-15/274853620_508971487498963_780253625356062828_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fmga5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ubJ82qAxcBEAX8KN52h&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT8mO2IXmAyBbd6XK51Wa9kOZyg-Hc41L0vTVGjIli3zuw&oe=62227400&_nc_sid=4efc9f","","owner didnt open","páscoa","pascoa2022","ovosdepascoa","produtoartesanal","feitoamao","amochocolate","chocolatra","empreendedorismo","chocolate",,,,,,,,,,,,,,,,,,,,,,"2782927893032359769","13",,,,,,,,,,"34236265724",,"5",,"chocolatra","Cae8iyTuFdZ","2022-02-27T14:07:58.000Z","Image","https://www.instagram.com/p/Cae8iyTuFdZ/",
